"industry","firm","notes","pdf","start_url"
"pharma","sanofi","",1,"https://mediaroom.sanofi.com/en/press-releases/"
"pharma","pfizer","",0,"https://www.pfizer.com/news/press-release/press-release-detail/augustus_demonstrates_favorable_safety_results_of_eliquis_versus_vitamin_k_antagonists_in_non_valvular_atrial_fibrillation_patients_with_acute_coronary_syndrome_and_or_undergoing_percutaneous_coronary_intervention"
"pharma","novartis","",0,"https://www.novartis.com/news/media-releases/novartis-joins-global-chagas-disease-coalition-and-also-announces-first-multinational-prospective-randomized-study-people-chronic-chagas-cardiomyopathy"
"pharma","jnj","",0,"https://www.jnj.com/media-center/press-releases"
"pharma","gsk","",0,"https://www.gsk.com/en-gb/media/press-releases/viiv-healthcare-presents-positive-48-week-data-from-two-pivotal-phase-iii-studies/"
"pharma","amgen","",0,"https://www.amgen.com/media/news-releases/2019/03/amgen-announces-new-fouryear-outcomes-study-to-examine-longterm-effects-of-repatha-evolocumab-in-highrisk-cardiovascular-disease-cvd-patients-without-prior-heart-attack-or-stroke/"
"pharma","biogen","",0,"http://investors.biogen.com/news-releases/news-release-details/biogen-enters-agreement-sell-its-large-scale-biologics"
"pharma","eli_lilly","",0,"https://investor.lilly.com/news-releases/news-release-details/lillys-cyramzar-ramucirumab-phase-3-relay-trial-met-primary"
"pharma","abbview","",0,"https://news.abbvie.com/news/press-releases/abbvie-announces-multiple-milestones-for-phase-3-cll14-venetoclax-study-fixed-duration-treatment-in-previously-untreated-chronic-lymphocytic-leukemia-patients.htm"
"pharma","merck","",0,"https://www.mrknewsroom.com/news-release/research-and-development-news/european-commission-approves-mercks-keytruda-pembrolizu-0"
"pharma","abbott","",0,"https://abbott.mediaroom.com/2019-03-17-New-Late-Breaking-Analyses-from-Landmark-COAPT-TM-Trial-Show-Benefits-of-Abbotts-MitraClip-TM-Device"
"pharma","gilead","",0,"https://www.gilead.com/news-and-press/press-room/press-releases/2019/3/gilead-presents-data-on-biktarvy-bictegravir-emtricitabine-and-tenofovir-alafenamide-in-virologically-suppressed-adults-including-those-with-pre"
"pharma","bristol-myers_squibb","",0,"https://news.bms.com/press-release/bmy/augustus-demonstrates-favorable-safety-results-eliquis-versus-vitamin-k-antagonist"
"pharma","astrazeneca","",0,"https://www.astrazeneca.com/content/astraz/media-centre/press-releases/2019/first-sub-analyses-from-the-declare-timi-58-trial-further-support-the-cardiovascular-effects-of-farxiga-in-type-2-diabetes-18032019.html"
"pharma","roche","",0,"https://www.roche.com/media/releases/med-cor-2019-03-11b.htm"
"pharma","bayer","",0,"https://media.bayer.com/baynews/baynews.nsf/id/Phase-III-clinical-trial-Bayers-Nifurtimox-demonstrates-safety-efficacy-formulation-treat-children?Open&parent=news-overview-category-search-en&ccm=020"
"pharma","novo_nordisk","",0,"https://www.novonordisk.com/content/Denmark/HQ/www-novonordisk-com/en_gb/home/media/news-details.2238847.html"

